dimension,k,annoy_time,fgc_time,count,size
2,10,146722.9163646698,3661.7884635925293,2,100000.0
2,40,323039.81256484985,3659.871459007263,2,100000.0
2,40,111821.31695747375,869.3485260009766,1,1000000.0
3,40,366405.0840139389,1354.917049407959,2,1000000.0
4,40,109592.53692626952,980.5996417999268,1,1000000.0
5,40,111205.37495613098,2368.9663410186768,1,1000000.0
6,40,111152.67848968506,4562.598466873169,1,1000000.0
7,40,109934.95106697084,7366.26672744751,1,1000000.0
8,40,107184.39531326294,8684.741258621216,1,1000000.0
9,40,105212.87870407104,12090.79909324646,1,1000000.0
10,40,105205.4123878479,15807.0170879364,1,1000000.0
11,40,103156.27121925354,20930.39345741272,1,1000000.0
12,40,99669.7142124176,24362.20121383667,1,1000000.0
13,40,98203.75847816467,44109.83490943909,1,1000000.0
14,40,101486.69648170473,33422.15991020203,1,1000000.0
15,40,98311.3250732422,36631.23607635498,1,1000000.0
16,40,88903.52416038513,100697.88908958437,1,1000000.0
17,40,90219.95496749878,46284.85822677612,1,1000000.0
18,40,90662.90163993835,51014.16158676148,1,1000000.0
19,40,90521.82507514954,55933.72058868408,1,1000000.0
20,40,91557.97958374023,61497.67017364502,1,1000000.0
21,40,91208.77647399902,68241.80436134338,1,1000000.0
22,40,91855.56650161745,74480.54218292236,1,1000000.0
2,100,1249114.8173809052,9706.064939498901,1,
3,10,269601.69553756714,2226.0308265686035,1,
3,100,1249776.099205017,3417.3128604888916,1,
