dimension,k,faiss_time,fgc_time,count,size
1,10,190.69766998291016,0.0,1,100000
1,40,278.0768871307373,0.0,1,100000
1,100,291.8953895568848,0.0,1,100000
2,10,183.45880508422852,287.57381439208984,1,100000
2,40,288.9878749847412,24.94668960571289,1,100000
2,100,307.2161674499512,43.02024841308594,1,100000
2,10,15944.600105285645,527.825117111206,1,1000000
2,40,19930.795669555664,640.4392719268799,1,1000000
2,100,21415.529012680054,1105.4370403289795,1,1000000
2,10,355281.81767463684,13754.88543510437,1,5000000
2,40,393133.93211364746,14571.979999542236,1,5000000
2,100,520211.4155292511,21400.69007873535,1,5000000
3,10,185.70566177368164,27.56810188293457,1,100000
3,40,242.0787811279297,27.33922004699707,1,100000
3,100,301.8035888671875,40.96865653991699,1,100000
3,10,15883.347511291504,230.5741310119629,1,1000000
3,40,20704.174280166626,255.1424503326416,1,1000000
3,100,21689.33606147766,357.1338653564453,1,1000000
3,10,378022.95422554016,5315.98424911499,1,5000000
3,40,495121.43087387085,5672.387599945068,1,5000000
3,100,578970.4020023346,7165.913343429565,1,5000000
4,10,191.1919116973877,56.298255920410156,1,100000
4,40,227.71143913269043,81.67600631713867,1,100000
4,100,286.5915298461914,88.58370780944824,1,100000
4,10,16052.98638343811,585.9806537628174,1,1000000
4,40,20427.396535873413,960.9260559082031,1,1000000
4,100,21491.979837417603,1546.3664531707764,1,1000000
4,10,380194.3573951721,7657.712697982788,1,5000000
4,40,492899.79338645935,10232.18321800232,1,5000000
4,100,578797.9264259338,16367.861270904541,1,5000000
5,10,197.82757759094238,76.60746574401855,1,100000
5,40,239.83192443847656,108.85167121887207,1,100000
5,100,321.43521308898926,163.0110740661621,1,100000
5,10,16054.851531982422,1647.1688747406006,1,1000000
5,40,20379.41861152649,2921.862840652466,1,1000000
5,100,21927.592277526855,3614.605665206909,1,1000000
5,10,382743.95084381104,22770.49684524536,1,5000000
5,40,516002.16722488403,37734.31038856506,1,5000000
5,100,580436.5079402924,48764.960050582886,1,5000000
6,10,196.92540168762207,130.89227676391602,1,100000
6,40,236.90557479858398,186.92564964294434,1,100000
6,100,317.5342082977295,261.9593143463135,1,100000
6,10,16109.472513198853,3147.603750228882,1,1000000
6,40,20300.91691017151,4457.68404006958,1,1000000
6,100,21555.38010597229,6224.090337753296,1,1000000
6,10,380933.58397483826,48007.81202316284,1,5000000
6,40,492209.6652984619,71637.97783851624,1,5000000
6,100,580398.3101844788,99525.0051021576,1,5000000
7,10,193.50075721740723,179.7642707824707,1,100000
7,40,229.0019989013672,239.36033248901367,1,100000
7,100,309.69905853271484,310.99557876586914,1,100000
7,10,16001.420021057129,5239.122629165649,1,1000000
7,40,20377.246618270874,7516.581296920776,1,1000000
7,100,21572.362899780273,9866.98865890503,1,1000000
7,10,382242.67292022705,95222.93329238892,1,5000000
7,40,544416.985988617,131943.701505661,1,5000000
7,100,556464.272737503,164688.91644477844,1,5000000
8,10,176.93448066711426,241.93668365478516,1,100000
8,40,279.56604957580566,368.5758113861084,1,100000
8,100,344.30575370788574,371.02818489074707,1,100000
8,10,16026.093482971191,6698.105573654175,1,1000000
8,40,20379.99987602234,9172.310590744019,1,1000000
8,100,22105.371475219727,11834.386110305786,1,1000000
8,10,379646.7435359955,178683.06922912598,1,5000000
8,40,493376.11413002014,176102.6315689087,1,5000000
8,100,526623.7785816193,218599.19381141663,1,5000000
9,10,194.13208961486816,348.9866256713867,1,100000
9,40,269.0567970275879,457.0314884185791,1,100000
9,100,303.9705753326416,464.43939208984375,1,100000
9,10,16854.732275009155,17903.72943878174,1,1000000
9,40,38099.74145889282,25497.363328933716,1,1000000
9,100,35866.376638412476,16343.193292617798,1,1000000
9,10,395732.53202438354,202059.88836288452,1,5000000
9,40,499235.42499542236,255719.89679336548,1,5000000
9,100,558033.9477062225,304871.14667892456,1,5000000
10,10,198.43435287475586,329.7152519226074,1,100000
10,40,228.0557155609131,536.299467086792,1,100000
10,100,399.5492458343506,561.0573291778564,1,100000
10,10,16311.763525009155,14043.199062347412,1,1000000
10,40,20258.647918701172,17700.857400894165,1,1000000
10,100,22609.769821166992,20313.560724258423,1,1000000
