size,k,ggnn_time,fgc_time,count,dimension
1000000,10,5154.613494873047,403.2895565032959,1,3
1000000,10,5850.082159042358,192.91996955871585,1,5
100000,40,285.51021489230067,169.22597451643514,11,3
100000,40,310.3901039470327,50.50921440124512,11,5
200000,40,555.3597753698176,8.24273716319691,11,3
200000,40,626.2585466558284,56.708877736871905,11,5
300000,40,853.2939390702682,11.42861626364968,11,3
300000,40,956.727699799971,72.43115251714534,11,5
400000,40,1150.6324247880416,13.918811624700375,11,3
400000,40,1290.9278219396417,92.5021388313987,11,5
500000,40,1456.44736289978,16.671267422762785,11,3
500000,40,1633.8769522580233,111.66191101074219,11,5
600000,40,1781.4485810019758,20.212758671153676,11,3
600000,40,1985.356851057573,133.06255774064496,11,5
700000,40,2088.9819968830457,20.941777662797406,11,3
700000,40,2347.0865162936125,156.78899938409978,11,5
800000,40,2389.6434957330875,23.689833554354582,11,3
800000,40,2706.5362496809526,185.87272817438304,11,5
900000,40,2713.1516716697,25.3218954259699,11,3
900000,40,3079.892635345459,218.42052719809791,11,5
1000000,40,3061.219648881393,27.150956067171975,11,3
1000000,40,3449.3973905389967,254.27189740267661,11,5
1500000,40,4713.854161175815,41.941642761230476,11,3
1500000,40,5416.920033368197,428.7911328402433,11,5
2000000,40,6535.788124257868,61.50960922241212,11,3
2000000,40,7559.516950087113,596.3248339566318,11,5
2500000,40,8314.370783892546,83.34664864973588,11,3
2500000,40,9727.92358831926,794.9696454134854,11,5
3000000,40,10513.88226855885,111.56446283513851,11,3
3000000,40,11749.276399612427,978.3404523676089,11,5
3500000,40,11896.487972953102,132.17553225430575,11,3
3500000,40,13309.469634836372,1251.351421529596,11,5
4000000,40,13738.517392765389,162.22936456853694,11,3
4000000,40,15351.198283108797,1567.6805106076326,11,5
4500000,40,15640.024098483,192.02592156150124,11,3
4500000,40,17371.173988689075,1929.5535304329612,11,5
5000000,40,17720.847173170612,236.78591034629127,11,3
5000000,40,20367.22553860057,2424.69031160528,11,5
5500000,40,20442.80089031566,272.04652266068894,11,3
5500000,40,22509.06705856323,2887.044256383723,11,5
6000000,40,22189.822457053444,310.9581470489502,11,3
6000000,40,24659.429095008156,3383.3317756652837,11,5
6500000,40,24214.943452314907,354.63684255426574,11,3
6500000,40,26907.46628154408,3920.996926047585,11,5
7000000,40,26321.377060630115,399.8359983617609,11,3
7000000,40,29078.78962430087,4479.416500438343,11,5
7500000,40,28507.890506224197,445.76811790466303,11,3
7500000,40,31276.051846417515,5063.564083792947,11,5
8000000,40,30761.240157214077,494.6190443905916,11,3
8000000,40,33474.48695789684,5653.406099839644,11,5
8500000,40,32364.15284330194,546.6153838417747,11,3
8500000,40,35781.89232132653,6214.499148455533,11,5
9000000,40,34720.1471978968,795.1516888358376,11,3
9000000,40,37993.45967986368,6751.804265108975,11,5
9500000,40,36652.2049036893,654.8154570839622,11,3
9500000,40,40276.06758204373,7267.993190071798,11,5
10000000,40,38581.0332515023,711.6445194591175,11,3
10000000,40,42460.76481992548,7748.990579084916,11,5
