method,k,n_points,dimensions,runtime_ms,memory_mb,accuracy,device
FGC,16,1000,3,11.730829874674479,0.0,1.0,GPU
PyTorch_Naive,16,1000,3,3.4995079040527344,0.0,1.0,GPU
PyTorch_Naive,16,1000,8,2.238750457763672,0.0,1.0,GPU
PyTorch_Naive,16,1000,16,2.3949146270751953,0.0,1.0,GPU
FGC,16,5000,3,18.62756411234538,12.016927083333334,0.99995,GPU
FGC,16,10000,3,13.642470041910807,2.0,0.9998875,GPU
FGC,16,50000,3,27.096668879191082,8.666666666666666,0.999695,GPU
FGC,32,1000,3,11.326154073079428,0.0,1.0,GPU
PyTorch_Naive,32,1000,3,2.238194147745768,0.0,1.0,GPU
PyTorch_Naive,32,1000,8,1.768191655476888,0.0,1.0,GPU
PyTorch_Naive,32,1000,16,2.7278264363606772,0.0,1.0,GPU
FGC,32,5000,3,14.369487762451172,0.0,0.9999875,GPU
FGC,32,10000,3,16.495784123738606,4.0,0.999921875,GPU
FGC,32,50000,3,31.002203623453777,18.0,0.99983875,GPU
FGC,64,1000,3,12.44044303894043,0.0,1.0,GPU
PyTorch_Naive,64,1000,3,5.188862482706706,0.0,1.0,GPU
PyTorch_Naive,64,1000,8,2.7627150217692056,0.0,1.0,GPU
PyTorch_Naive,64,1000,16,2.769629160563151,0.0,1.0,GPU
FGC,64,5000,3,16.152699788411457,0.0,0.9999875,GPU
FGC,64,10000,3,21.428267161051433,0.0,0.99996875,GPU
FGC,64,50000,3,62.17193603515625,28.541666666666668,0.999894375,GPU
FGC,128,1000,3,16.843080520629883,0.0,1.0,GPU
PyTorch_Naive,128,1000,3,2.797365188598633,0.0,1.0,GPU
PyTorch_Naive,128,1000,8,4.443963368733724,0.0,1.0,GPU
PyTorch_Naive,128,1000,16,3.777106602986654,0.0,1.0,GPU
FGC,128,5000,3,30.127525329589844,0.0,0.9999875,GPU
FGC,128,10000,3,65.12061754862468,0.0,0.999984375,GPU
FGC,128,50000,3,96.3579813639323,45.177083333333336,0.99992484375,GPU
